frame,object_type,confidence,tracking_id,x1,y1,x2,y2,license_plate_confidence,mx1,my1,mx2,my2,license_plate_text
frame,object_type,confidence,tracking_id,x1,y1,x2,y2,license_plate_confidence,mx1,my1,mx2,my2,license_plate_text
2025-05-21 14:45:04,1,car,KMK461,0.91,1
2025-05-21 14:45:04,31,car,5UUUU,0.05,171
2025-05-21 14:45:04,40,car,DIU77O,0.2,187
2025-05-21 14:45:05,1,car,KMK461,0.91,1
2025-05-21 14:45:05,31,car,KMK461,0.95,171
2025-05-21 14:45:05,40,car,DIU77O,0.2,187
2025-05-21 14:45:13,1,car,KMK461,0.91,1
2025-05-21 14:45:13,31,car,KMK461,0.95,171
2025-05-21 14:45:13,40,car,DIU77O,0.2,187


2025-05-21 14:53:14,2,car,EGX799,0.72,30
2025-05-21 14:53:16,2,car,EGX799,0.88,30
2025-05-21 14:53:34,2,car,EGX799,0.88,30
2025-05-21 14:53:34,18,car,FGX799,0.86,117
2025-05-21 14:54:11,2,car,EGX799,0.88,30
2025-05-21 14:54:11,18,car,FGX799,0.86,117
2025-05-21 14:57:33,2,car,EGX799,0.82,11
2025-05-21 14:57:37,2,car,EGX799,0.93,11
2025-05-21 14:58:07,2,car,EGX799,0.93,11
2025-05-21 14:58:39,1,car,FJ270VA,1.0,108
2025-05-21 14:58:50,1,car,FJ270VA,1.0,108
2025-05-21 14:59:18,5,car,U808TI,0.54,106
2025-05-21 14:59:34,5,car,U808TI,0.54,106
2025-05-21 14:59:34,10,car,OLJ2P1,0.05,199
2025-05-21 14:59:35,5,car,U808TI,0.54,106
2025-05-21 14:59:35,10,car,04JKP2,0.1,199
2025-05-21 14:59:36,5,car,U808TI,0.54,106
2025-05-21 14:59:36,10,car,03KP1,0.11,199
2025-05-21 14:59:38,5,car,U808TI,0.54,106
2025-05-21 14:59:38,10,car,OLJJKP1,0.19,199
2025-05-21 14:59:38,5,car,U808TI,0.54,106
2025-05-21 14:59:38,10,car,0L33KPL,0.24,199
2025-05-21 14:59:39,5,car,U808TI,0.54,106
2025-05-21 14:59:39,10,car,0L33KPX,0.64,199
2025-05-21 14:59:42,5,car,U808TI,0.54,106
2025-05-21 14:59:42,10,car,0L33KP,0.83,199
2025-05-21 14:59:44,5,car,U808TI,0.54,106
2025-05-21 14:59:44,10,car,0L33KPX,0.9,199
2025-05-21 15:01:22,5,car,U808TI,0.54,106
2025-05-21 15:01:22,10,car,0L33KPX,0.9,199
2025-05-21 15:02:21,2,car,KMK461,0.77,1
2025-05-21 15:02:24,2,car,KNK461,0.93,1
2025-05-21 15:02:52,2,car,KNK461,0.93,1
2025-05-21 15:02:52,3,car,EGX799,1.0,179
2025-05-21 15:03:21,2,car,KNK461,0.93,1
2025-05-21 15:03:21,3,car,EGX799,1.0,179
2025-05-21 15:03:21,12,car,E6X799,0.49,331
2025-05-21 15:03:22,2,car,KNK461,0.93,1
2025-05-21 15:03:22,3,car,EGX799,1.0,179
2025-05-21 15:03:22,12,car,EGX799,0.97,331
2025-05-21 15:04:15,2,car,KNK461,0.93,1
2025-05-21 15:04:15,3,car,EGX799,1.0,179
2025-05-21 15:04:15,12,car,EGX799,0.97,331
2025-05-21 15:04:15,22,car,MY461,0.29,506
2025-05-21 15:04:28,2,car,KNK461,0.93,1
2025-05-21 15:04:28,3,car,EGX799,1.0,179
2025-05-21 15:04:28,12,car,EGX799,0.97,331
2025-05-21 15:04:28,22,car,MY461,0.29,506
2025-05-21 15:04:28,30,car,KHK461,0.78,691
2025-05-21 15:04:37,2,car,KNK461,0.93,1
2025-05-21 15:04:37,3,car,EGX799,1.0,179
2025-05-21 15:04:37,12,car,EGX799,0.97,331
2025-05-21 15:04:37,22,car,MY461,0.29,506
2025-05-21 15:04:37,30,car,KHK461,0.78,691
2025-05-21 15:04:37,32,car,KNK461,0.58,767
2025-05-21 15:04:40,2,car,KNK461,0.93,1
2025-05-21 15:04:40,3,car,EGX799,1.0,179
2025-05-21 15:04:40,12,car,EGX799,0.97,331
2025-05-21 15:04:40,22,car,MY461,0.29,506
2025-05-21 15:04:40,30,car,KHK461,0.78,691
2025-05-21 15:04:40,31,car,ANA461,0.28,762
2025-05-21 15:04:40,32,car,KNK461,0.58,767
2025-05-21 15:04:41,2,car,KNK461,0.93,1
2025-05-21 15:04:41,3,car,EGX799,1.0,179
2025-05-21 15:04:41,12,car,EGX799,0.97,331
2025-05-21 15:04:41,22,car,MY461,0.29,506
2025-05-21 15:04:41,30,car,KHK461,0.78,691
2025-05-21 15:04:41,31,car,KNK261,0.44,762
2025-05-21 15:04:41,32,car,KNK461,0.58,767
2025-05-21 15:04:55,2,car,KNK461,0.93,1
2025-05-21 15:04:55,3,car,EGX799,1.0,179
2025-05-21 15:04:55,12,car,EGX799,0.97,331
2025-05-21 15:04:55,22,car,MY461,0.29,506
2025-05-21 15:04:55,30,car,KHK461,0.78,691
2025-05-21 15:04:55,31,car,KNK261,0.44,762
2025-05-21 15:04:55,32,car,KNK461,0.58,767

2025-05-21 15:14:39,1,car,2214,0.43,989
2025-05-21 15:14:40,1,car,2212,0.62,989

2025-05-21 15:16:00,1,car,2212,0.62,989
2025-05-21 15:16:00,37,car,P21L4M,0.05,1392
2025-05-21 15:16:02,1,car,2212,0.62,989
2025-05-21 15:16:02,37,car,IP21M,0.22,1392
2025-05-21 15:16:06,1,car,2212,0.62,989
2025-05-21 15:16:06,37,car,P21LY4,0.23,1392
2025-05-21 15:16:12,1,car,2212,0.62,989
2025-05-21 15:16:12,37,car,PP21,0.48,1392
2025-05-21 15:16:23,1,car,2212,0.62,989
2025-05-21 15:16:23,37,car,PP21,0.48,1392
2025-05-21 15:16:23,54,car,P21ANK,0.23,1519
2025-05-21 15:16:24,1,car,2212,0.62,989
2025-05-21 15:16:24,37,car,PP21,0.48,1392
2025-05-21 15:16:24,54,car,P21ANK,0.23,1519
2025-05-21 15:16:24,73,car,P2124,0.78,1562
2025-05-21 15:16:57,1,car,2212,0.62,989
2025-05-21 15:16:57,37,car,PP21,0.48,1392
2025-05-21 15:16:57,54,car,P21ANK,0.23,1519
2025-05-21 15:16:57,73,car,P2124,0.78,1562
2025-05-21 15:16:57,80,car,P2TEN,0.17,1601


2025-05-22 00:20:08,2,car,YMY441,0.69,156


2025-05-22 00:20:29,2,car,KHK461,0.71,156
2025-05-22 00:20:30,2,car,KHX461,0.95,156
